10000 20000 .33 .14
10000 20000 .31 .14
10000 20000 .32 .14
10000 20000 .32 .14
10000 20000 .32 .14
10000 40000 .50 .14
10000 40000 .49 .14
10000 40000 .49 .14
10000 40000 .48 .14
10000 40000 .50 .14
10000 60000 .68 .14
10000 60000 .67 .14
10000 60000 .66 .14
10000 60000 .67 .14
10000 60000 .68 .14
10000 80000 .85 .14
10000 80000 .83 .14
10000 80000 .83 .14
10000 80000 .86 .14
10000 80000 .87 .14
10000 100000 1.04 .14
10000 100000 1.05 .14
10000 100000 1.02 .14
10000 100000 1.05 .14
10000 100000 1.01 .14
20000 20000 .54 .35
20000 20000 .53 .35
20000 20000 .52 .36
20000 20000 .52 .35
20000 20000 .53 .35
20000 40000 .70 .35
20000 40000 .71 .35
20000 40000 .71 .35
20000 40000 .70 .35
20000 40000 .73 .36
20000 60000 .90 .35
20000 60000 .89 .35
20000 60000 .88 .35
20000 60000 .88 .35
20000 60000 .89 .35
20000 80000 1.06 .35
20000 80000 1.08 .37
20000 80000 1.09 .35
20000 80000 1.09 .35
20000 80000 1.06 .35
20000 100000 1.23 .35
20000 100000 1.24 .35
20000 100000 1.25 .35
20000 100000 1.25 .35
20000 100000 1.23 .35
30000 20000 .81 .64
30000 20000 .82 .64
30000 20000 .82 .64
30000 20000 .82 .64
30000 20000 .82 .64
30000 40000 1.01 .64
30000 40000 1.01 .64
30000 40000 1.01 .64
30000 40000 1.01 .64
30000 40000 1.00 .65
30000 60000 1.23 .67
30000 60000 1.20 .66
30000 60000 1.23 .65
30000 60000 1.21 .65
30000 60000 1.16 .64
30000 80000 1.36 .64
30000 80000 1.33 .64
30000 80000 1.35 .64
30000 80000 1.34 .65
30000 80000 1.34 .64
30000 100000 1.51 .64
30000 100000 1.51 .64
30000 100000 1.55 .64
30000 100000 1.51 .64
30000 100000 1.52 .65
40000 20000 .94 .76
40000 20000 .96 .78
40000 20000 .95 .77
40000 20000 .97 .77
40000 20000 .95 .77
40000 40000 1.12 .78
40000 40000 1.12 .77
40000 40000 1.13 .77
40000 40000 1.15 .79
40000 40000 1.15 .80
40000 60000 1.35 .81
40000 60000 1.35 .79
40000 60000 1.37 .82
40000 60000 1.37 .78
40000 60000 1.32 .78
40000 80000 1.52 .78
40000 80000 1.51 .78
40000 80000 1.51 .77
40000 80000 1.47 .79
40000 80000 1.48 .77
40000 100000 1.65 .77
40000 100000 1.65 .78
40000 100000 1.68 .77
40000 100000 1.68 .77
40000 100000 1.64 .78
50000 20000 1.42 1.25
50000 20000 1.44 1.24
50000 20000 1.42 1.25
50000 20000 1.42 1.24
50000 20000 1.42 1.25
50000 40000 1.61 1.24
50000 40000 1.61 1.24
50000 40000 1.59 1.24
50000 40000 1.58 1.25
50000 40000 1.62 1.25
50000 60000 1.77 1.24
50000 60000 1.77 1.24
50000 60000 1.77 1.24
50000 60000 1.79 1.28
50000 60000 1.85 1.29
50000 80000 2.00 1.26
50000 80000 2.03 1.25
50000 80000 1.97 1.29
50000 80000 1.98 1.25
50000 80000 1.95 1.26
50000 100000 2.14 1.28
50000 100000 2.20 1.27
50000 100000 2.11 1.24
50000 100000 2.13 1.25
50000 100000 2.16 1.25
