10000, .01
10000, .01
10000, .01
10000, .01
10000, .01
20000, .03
20000, .03
20000, .03
20000, .03
20000, .03
30000, .05
30000, .05
30000, .05
30000, .05
30000, .05
40000, .07
40000, .07
40000, .07
40000, .07
40000, .07
50000, .09
50000, .09
50000, .09
50000, .09
50000, .09
60000, .11
60000, .11
60000, .10
60000, .10
60000, .11
70000, .13
70000, .13
70000, .13
70000, .13
70000, .13
80000, .15
80000, .15
80000, .15
80000, .15
80000, .15
90000, .17
90000, .17
90000, .17
90000, .16
90000, .16
100000, .18
100000, .19
100000, .19
100000, .20
100000, .19
