10000 .19
10000 .14
10000 .14
10000 .14
10000 .14
20000 .27
20000 .27
20000 .26
20000 .27
20000 .27
30000 .39
30000 .40
30000 .40
30000 .40
30000 .39
40000 .52
40000 .52
40000 .52
40000 .52
40000 .53
50000 .66
50000 .65
50000 .65
50000 .69
50000 .66
60000 .79
60000 .78
60000 .80
60000 .79
60000 .78
70000 .91
70000 .91
70000 .92
70000 .92
70000 .93
80000 1.08
80000 1.07
80000 1.04
80000 1.06
80000 1.05
90000 1.20
90000 1.20
90000 1.18
90000 1.19
90000 1.17
100000 1.30
100000 1.31
100000 1.31
100000 1.33
100000 1.32
