1000, .03
1000, .02
1000, .02
1000, .02
1000, .02
2000, .02
2000, .02
2000, .02
2000, .02
2000, .02
3000, .03
3000, .03
3000, .03
3000, .03
3000, .03
4000, .03
4000, .03
4000, .04
4000, .03
4000, .03
5000, .04
5000, .04
5000, .04
5000, .04
5000, .04
6000, .05
6000, .05
6000, .05
6000, .05
6000, .05
7000, .06
7000, .06
7000, .06
7000, .06
7000, .06
8000, .06
8000, .06
8000, .06
8000, .06
8000, .06
9000, .07
9000, .07
9000, .07
9000, .07
9000, .07
10000, .08
10000, .08
10000, .08
10000, .08
10000, .08
20000, .15
20000, .15
20000, .15
20000, .15
20000, .15
30000, .22
30000, .22
30000, .22
30000, .22
30000, .22
40000, .30
40000, .30
40000, .30
40000, .32
40000, .30
50000, .39
50000, .38
50000, .38
50000, .39
50000, .38
60000, .47
60000, .47
60000, .47
60000, .47
60000, .46
70000, .55
70000, .55
70000, .55
70000, .55
70000, .55
80000, .63
80000, .65
80000, .63
80000, .63
80000, .64
90000, .74
90000, .75
90000, .74
90000, .73
90000, .73
100000, .83
100000, .81
100000, .84
100000, .82
100000, .84
