10000, .01
10000, .01
10000, .01
10000, .01
10000, .01
20000, .03
20000, .03
20000, .03
20000, .03
20000, .03
30000, .04
30000, .04
30000, .04
30000, .05
30000, .04
40000, .06
40000, .06
40000, .06
40000, .06
40000, .06
50000, .08
50000, .08
50000, .08
50000, .08
50000, .08
60000, .09
60000, .09
60000, .09
60000, .09
60000, .10
70000, .11
70000, .11
70000, .11
70000, .11
70000, .11
80000, .13
80000, .13
80000, .13
80000, .13
80000, .13
90000, .15
90000, .14
90000, .15
90000, .15
90000, .14
100000, .16
100000, .17
100000, .16
100000, .16
100000, .17
