10000 20000 .42 .22
10000 20000 .40 .23
10000 20000 .40 .21
10000 20000 .41 .22
10000 20000 .41 .23
10000 40000 .57 .23
10000 40000 .54 .23
10000 40000 .55 .24
10000 40000 .56 .23
10000 40000 .56 .24
10000 60000 .67 .22
10000 60000 .65 .21
10000 60000 .67 .23
10000 60000 .65 .23
10000 60000 .66 .21
10000 80000 .74 .22
10000 80000 .76 .21
10000 80000 .74 .22
10000 80000 .76 .21
10000 80000 .76 .22
10000 100000 .84 .21
10000 100000 .83 .22
10000 100000 .83 .22
10000 100000 .88 .21
10000 100000 .85 .21
20000 20000 .55 .37
20000 20000 .58 .33
20000 20000 .54 .36
20000 20000 .54 .32
20000 20000 .57 .36
20000 40000 .70 .37
20000 40000 .65 .36
20000 40000 .67 .38
20000 40000 .65 .33
20000 40000 .70 .34
20000 60000 .81 .33
20000 60000 .81 .38
20000 60000 .79 .33
20000 60000 .79 .37
20000 60000 .81 .38
20000 80000 .89 .37
20000 80000 .94 .36
20000 80000 .88 .34
20000 80000 .92 .34
20000 80000 .86 .37
20000 100000 1.00 .34
20000 100000 1.00 .37
20000 100000 .98 .37
20000 100000 1.01 .36
20000 100000 .97 .36
30000 20000 .67 .49
30000 20000 .70 .46
30000 20000 .72 .50
30000 20000 .66 .50
30000 20000 .70 .49
30000 40000 .83 .48
30000 40000 .80 .50
30000 40000 .83 .46
30000 40000 .79 .50
30000 40000 .78 .50
30000 60000 .95 .47
30000 60000 .93 .50
30000 60000 .94 .50
30000 60000 .88 .45
30000 60000 .94 .47
30000 80000 1.01 .50
30000 80000 1.01 .47
30000 80000 1.00 .50
30000 80000 1.01 .48
30000 80000 1.05 .50
30000 100000 1.09 .48
30000 100000 1.19 .51
30000 100000 1.18 .50
30000 100000 1.12 .47
30000 100000 1.68 .50
40000 20000 .83 .50
40000 20000 .81 .52
40000 20000 .80 .50
40000 20000 .80 .53
40000 20000 .85 .56
40000 40000 .99 .54
40000 40000 1.02 .57
40000 40000 1.05 .52
40000 40000 1.05 .53
40000 40000 .99 .51
40000 60000 1.21 .53
40000 60000 1.20 .50
40000 60000 1.16 .51
40000 60000 .94 .51
40000 60000 .92 .54
40000 80000 1.06 .50
40000 80000 1.08 .54
40000 80000 1.06 .54
40000 80000 1.07 .50
40000 80000 1.05 .53
40000 100000 1.50 .51
40000 100000 1.47 .52
40000 100000 1.44 .51
40000 100000 1.46 .53
40000 100000 1.12 .53
50000 20000 .94 .72
50000 20000 .95 .72
50000 20000 .90 .72
50000 20000 1.01 .73
50000 20000 .89 .73
50000 40000 1.04 .72
50000 40000 .98 .74
50000 40000 1.01 .72
50000 40000 1.03 .71
50000 40000 1.02 .75
50000 60000 1.18 .71
50000 60000 1.10 .74
50000 60000 1.16 .75
50000 60000 1.13 .71
50000 60000 1.11 .75
50000 80000 1.23 .74
50000 80000 1.25 .71
50000 80000 1.24 .71
50000 80000 1.22 .70
50000 80000 1.21 .74
50000 100000 1.39 .73
50000 100000 1.37 .74
50000 100000 1.35 .73
50000 100000 1.29 .71
50000 100000 1.34 .73
