10000, 20000, .05, .01
10000, 20000, .04, .01
10000, 20000, .04, .01
10000, 20000, .04, .01
10000, 20000, .04, .01
10000, 40000, .08, .01
10000, 40000, .07, .01
10000, 40000, .07, .01
10000, 40000, .07, .01
10000, 40000, .08, .01
10000, 60000, .10, .01
10000, 60000, .10, .01
10000, 60000, .10, .01
10000, 60000, .11, .01
10000, 60000, .10, .01
10000, 80000, .14, .01
10000, 80000, .14, .01
10000, 80000, .14, .01
10000, 80000, .13, .01
10000, 80000, .14, .01
10000, 100000, .17, .01
10000, 100000, .17, .01
10000, 100000, .17, .01
10000, 100000, .17, .01
10000, 100000, .17, .01
20000, 20000, .06, .03
20000, 20000, .06, .03
20000, 20000, .06, .03
20000, 20000, .06, .03
20000, 20000, .06, .03
20000, 40000, .09, .03
20000, 40000, .10, .03
20000, 40000, .09, .03
20000, 40000, .09, .03
20000, 40000, .09, .03
20000, 60000, .12, .03
20000, 60000, .12, .03
20000, 60000, .12, .03
20000, 60000, .12, .03
20000, 60000, .12, .03
20000, 80000, .15, .03
20000, 80000, .15, .03
20000, 80000, .15, .03
20000, 80000, .15, .03
20000, 80000, .16, .03
20000, 100000, .19, .03
20000, 100000, .18, .03
20000, 100000, .19, .03
20000, 100000, .18, .03
20000, 100000, .18, .03
30000, 20000, .08, .04
30000, 20000, .07, .05
30000, 20000, .07, .04
30000, 20000, .08, .05
30000, 20000, .07, .04
30000, 40000, .11, .04
30000, 40000, .11, .05
30000, 40000, .11, .05
30000, 40000, .11, .05
30000, 40000, .11, .05
30000, 60000, .14, .04
30000, 60000, .14, .04
30000, 60000, .14, .04
30000, 60000, .14, .04
30000, 60000, .14, .04
30000, 80000, .17, .05
30000, 80000, .17, .05
30000, 80000, .17, .05
30000, 80000, .17, .04
30000, 80000, .17, .04
30000, 100000, .20, .04
30000, 100000, .20, .05
30000, 100000, .20, .04
30000, 100000, .20, .05
30000, 100000, .20, .05
40000, 20000, .09, .06
40000, 20000, .09, .06
40000, 20000, .09, .06
40000, 20000, .10, .06
40000, 20000, .10, .06
40000, 40000, .13, .06
40000, 40000, .13, .07
40000, 40000, .12, .06
40000, 40000, .13, .06
40000, 40000, .13, .06
40000, 60000, .16, .06
40000, 60000, .15, .06
40000, 60000, .16, .06
40000, 60000, .16, .06
40000, 60000, .18, .06
40000, 80000, .19, .06
40000, 80000, .19, .06
40000, 80000, .19, .06
40000, 80000, .19, .06
40000, 80000, .19, .06
40000, 100000, .22, .06
40000, 100000, .22, .06
40000, 100000, .22, .06
40000, 100000, .22, .06
40000, 100000, .22, .06
50000, 20000, .11, .08
50000, 20000, .11, .08
50000, 20000, .11, .08
50000, 20000, .11, .08
50000, 20000, .11, .08
50000, 40000, .14, .08
50000, 40000, .14, .08
50000, 40000, .14, .08
50000, 40000, .15, .08
50000, 40000, .14, .08
50000, 60000, .18, .08
50000, 60000, .18, .08
50000, 60000, .18, .08
50000, 60000, .17, .08
50000, 60000, .18, .08
50000, 80000, .21, .08
50000, 80000, .20, .09
50000, 80000, .21, .08
50000, 80000, .21, .08
50000, 80000, .21, .08
50000, 100000, .23, .08
50000, 100000, .24, .08
50000, 100000, .23, .08
50000, 100000, .24, .08
50000, 100000, .24, .08
