1000 .12 22
1000 .11 22
1000 .10 22
1000 .11 22
1000 .11 22
1000 .10 22
1000 .10 22
1000 .10 22
1000 .10 22
1000 .11 22
1000 .11 19
1000 .10 19
1000 .11 19
1000 .11 19
1000 .10 19
1000 .10 19
1000 .10 19
1000 .11 19
1000 .10 19
1000 .10 19
1000 .10 23
1000 .10 23
1000 .11 23
1000 .10 23
1000 .10 23
1000 .11 23
1000 .11 23
1000 .10 23
1000 .11 23
1000 .11 23
1000 .10 21
1000 .10 21
1000 .11 21
1000 .10 21
1000 .10 21
1000 .10 21
1000 .10 21
1000 .10 21
1000 .11 21
1000 .11 21
1000 .10 30
1000 .10 30
1000 .10 30
1000 .10 30
1000 .10 30
1000 .09 30
1000 .11 30
1000 .10 30
1000 .10 30
1000 .10 30
2000 .11 27
2000 .11 27
2000 .12 27
2000 .12 27
2000 .11 27
2000 .11 27
2000 .12 27
2000 .12 27
2000 .11 27
2000 .12 27
2000 .11 25
2000 .11 25
2000 .11 25
2000 .11 25
2000 .12 25
2000 .11 25
2000 .11 25
2000 .12 25
2000 .11 25
2000 .11 25
2000 .11 28
2000 .11 28
2000 .12 28
2000 .12 28
2000 .11 28
2000 .11 28
2000 .11 28
2000 .11 28
2000 .11 28
2000 .12 28
2000 .11 24
2000 .11 24
2000 .11 24
2000 .11 24
2000 .11 24
2000 .11 24
2000 .12 24
2000 .11 24
2000 .11 24
2000 .11 24
2000 .11 24
2000 .12 24
2000 .12 24
2000 .11 24
2000 .12 24
2000 .12 24
2000 .11 24
2000 .11 24
2000 .11 24
2000 .11 24
3000 .12 28
3000 .12 28
3000 .11 28
3000 .11 28
3000 .11 28
3000 .12 28
3000 .12 28
3000 .11 28
3000 .11 28
3000 .12 28
3000 .11 29
3000 .11 29
3000 .12 29
3000 .12 29
3000 .11 29
3000 .12 29
3000 .11 29
3000 .11 29
3000 .11 29
3000 .11 29
3000 .11 24
3000 .11 24
3000 .11 24
3000 .12 24
3000 .11 24
3000 .11 24
3000 .12 24
3000 .11 24
3000 .11 24
3000 .11 24
3000 .11 23
3000 .11 23
3000 .11 23
3000 .11 23
3000 .11 23
3000 .12 23
3000 .11 23
3000 .11 23
3000 .11 23
3000 .11 23
3000 .12 23
3000 .12 23
3000 .11 23
3000 .11 23
3000 .11 23
3000 .13 23
3000 .11 23
3000 .11 23
3000 .11 23
3000 .11 23
4000 .12 31
4000 .13 31
4000 .12 31
4000 .12 31
4000 .12 31
4000 .12 31
4000 .12 31
4000 .12 31
4000 .12 31
4000 .13 31
4000 .13 27
4000 .12 27
4000 .13 27
4000 .12 27
4000 .13 27
4000 .12 27
4000 .12 27
4000 .13 27
4000 .12 27
4000 .12 27
4000 .12 26
4000 .12 26
4000 .12 26
4000 .12 26
4000 .12 26
4000 .13 26
4000 .12 26
4000 .13 26
4000 .12 26
4000 .12 26
4000 .12 28
4000 .12 28
4000 .12 28
4000 .12 28
4000 .13 28
4000 .13 28
4000 .12 28
4000 .13 28
4000 .12 28
4000 .13 28
4000 .12 27
4000 .12 27
4000 .12 27
4000 .13 27
4000 .13 27
4000 .13 27
4000 .12 27
4000 .12 27
4000 .12 27
4000 .13 27
5000 .12 25
5000 .12 25
5000 .12 25
5000 .12 25
5000 .12 25
5000 .12 25
5000 .12 25
5000 .12 25
5000 .12 25
5000 .12 25
5000 .12 29
5000 .13 29
5000 .12 29
5000 .13 29
5000 .12 29
5000 .12 29
5000 .13 29
5000 .12 29
5000 .12 29
5000 .14 29
5000 .13 27
5000 .13 27
5000 .12 27
5000 .12 27
5000 .12 27
5000 .12 27
5000 .12 27
5000 .12 27
5000 .12 27
5000 .12 27
5000 .12 30
5000 .12 30
5000 .12 30
5000 .13 30
5000 .12 30
5000 .12 30
5000 .12 30
5000 .12 30
5000 .13 30
5000 .12 30
5000 .12 27
5000 .13 27
5000 .12 27
5000 .12 27
5000 .12 27
5000 .13 27
5000 .13 27
5000 .12 27
5000 .12 27
5000 .12 27
6000 .13 28
6000 .13 28
6000 .12 28
6000 .12 28
6000 .12 28
6000 .12 28
6000 .12 28
6000 .12 28
6000 .12 28
6000 .13 28
6000 .12 30
6000 .12 30
6000 .12 30
6000 .12 30
6000 .12 30
6000 .12 30
6000 .12 30
6000 .12 30
6000 .12 30
6000 .13 30
6000 .12 28
6000 .13 28
6000 .12 28
6000 .12 28
6000 .13 28
6000 .13 28
6000 .12 28
6000 .12 28
6000 .12 28
6000 .13 28
6000 .13 30
6000 .13 30
6000 .12 30
6000 .12 30
6000 .13 30
6000 .12 30
6000 .12 30
6000 .12 30
6000 .12 30
6000 .13 30
6000 .12 31
6000 .12 31
6000 .12 31
6000 .12 31
6000 .12 31
6000 .12 31
6000 .12 31
6000 .12 31
6000 .12 31
6000 .12 31
7000 .12 30
7000 .13 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .13 30
7000 .13 30
7000 .12 30
7000 .12 30
7000 .13 30
7000 .12 30
7000 .13 30
7000 .12 30
7000 .13 30
7000 .12 30
7000 .13 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .12 30
7000 .13 30
7000 .12 31
7000 .12 31
7000 .12 31
7000 .12 31
7000 .13 31
7000 .13 31
7000 .12 31
7000 .13 31
7000 .12 31
7000 .13 31
7000 .12 28
7000 .12 28
7000 .12 28
7000 .12 28
7000 .12 28
7000 .13 28
7000 .12 28
7000 .13 28
7000 .13 28
7000 .13 28
8000 .13 29
8000 .13 29
8000 .13 29
8000 .12 29
8000 .12 29
8000 .13 29
8000 .14 29
8000 .12 29
8000 .12 29
8000 .12 29
8000 .12 33
8000 .13 33
8000 .12 33
8000 .12 33
8000 .12 33
8000 .12 33
8000 .12 33
8000 .13 33
8000 .12 33
8000 .13 33
8000 .12 37
8000 .13 37
8000 .12 37
8000 .12 37
8000 .13 37
8000 .12 37
8000 .12 37
8000 .12 37
8000 .12 37
8000 .12 37
8000 .13 28
8000 .12 28
8000 .12 28
8000 .13 28
8000 .12 28
8000 .13 28
8000 .12 28
8000 .13 28
8000 .13 28
8000 .12 28
8000 .12 32
8000 .13 32
8000 .12 32
8000 .12 32
8000 .12 32
8000 .12 32
8000 .12 32
8000 .13 32
8000 .13 32
8000 .12 32
9000 .13 30
9000 .13 30
9000 .13 30
9000 .13 30
9000 .13 30
9000 .13 30
9000 .13 30
9000 .13 30
9000 .14 30
9000 .13 30
9000 .13 29
9000 .12 29
9000 .13 29
9000 .12 29
9000 .12 29
9000 .12 29
9000 .13 29
9000 .13 29
9000 .13 29
9000 .13 29
9000 .13 27
9000 .12 27
9000 .13 27
9000 .13 27
9000 .13 27
9000 .13 27
9000 .12 27
9000 .12 27
9000 .13 27
9000 .13 27
9000 .13 29
9000 .14 29
9000 .13 29
9000 .13 29
9000 .13 29
9000 .13 29
9000 .13 29
9000 .13 29
9000 .13 29
9000 .12 29
9000 .13 28
9000 .13 28
9000 .13 28
9000 .13 28
9000 .13 28
9000 .13 28
9000 .13 28
9000 .13 28
9000 .13 28
9000 .13 28
10000 .13 33
10000 .13 33
10000 .13 33
10000 .13 33
10000 .13 33
10000 .13 33
10000 .13 33
10000 .13 33
10000 .13 33
10000 .13 33
10000 .13 30
10000 .13 30
10000 .13 30
10000 .13 30
10000 .13 30
10000 .13 30
10000 .13 30
10000 .13 30
10000 .13 30
10000 .13 30
10000 .13 34
10000 .13 34
10000 .13 34
10000 .13 34
10000 .12 34
10000 .13 34
10000 .13 34
10000 .13 34
10000 .13 34
10000 .13 34
10000 .13 32
10000 .13 32
10000 .13 32
10000 .13 32
10000 .13 32
10000 .12 32
10000 .13 32
10000 .13 32
10000 .13 32
10000 .12 32
10000 .13 32
10000 .12 32
10000 .13 32
10000 .13 32
10000 .12 32
10000 .13 32
10000 .13 32
10000 .13 32
10000 .13 32
10000 .13 32
20000 .14 34
20000 .13 34
20000 .15 34
20000 .13 34
20000 .14 34
20000 .14 34
20000 .14 34
20000 .14 34
20000 .14 34
20000 .14 34
20000 .14 32
20000 .13 32
20000 .14 32
20000 .14 32
20000 .13 32
20000 .14 32
20000 .14 32
20000 .14 32
20000 .15 32
20000 .13 32
20000 .14 31
20000 .14 31
20000 .14 31
20000 .15 31
20000 .14 31
20000 .14 31
20000 .14 31
20000 .14 31
20000 .14 31
20000 .14 31
20000 .14 32
20000 .14 32
20000 .14 32
20000 .14 32
20000 .14 32
20000 .14 32
20000 .14 32
20000 .14 32
20000 .14 32
20000 .14 32
20000 .14 34
20000 .14 34
20000 .14 34
20000 .14 34
20000 .15 34
20000 .14 34
20000 .14 34
20000 .14 34
20000 .14 34
20000 .13 34
30000 .16 37
30000 .14 37
30000 .15 37
30000 .15 37
30000 .14 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .16 35
30000 .15 35
30000 .16 35
30000 .15 35
30000 .15 35
30000 .15 35
30000 .14 35
30000 .14 35
30000 .15 35
30000 .15 35
30000 .14 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 37
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .14 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .15 36
30000 .16 36
30000 .15 36
30000 .15 36
30000 .15 36
40000 .16 36
40000 .14 36
40000 .16 36
40000 .16 36
40000 .16 36
40000 .16 36
40000 .16 36
40000 .16 36
40000 .16 36
40000 .16 36
40000 .16 37
40000 .16 37
40000 .15 37
40000 .16 37
40000 .16 37
40000 .16 37
40000 .16 37
40000 .16 37
40000 .16 37
40000 .16 37
40000 .17 34
40000 .16 34
40000 .16 34
40000 .16 34
40000 .16 34
40000 .16 34
40000 .16 34
40000 .17 34
40000 .16 34
40000 .16 34
40000 .16 41
40000 .16 41
40000 .16 41
40000 .16 41
40000 .16 41
40000 .16 41
40000 .16 41
40000 .16 41
40000 .16 41
40000 .17 41
40000 .17 42
40000 .16 42
40000 .16 42
40000 .16 42
40000 .16 42
40000 .16 42
40000 .16 42
40000 .16 42
40000 .16 42
40000 .16 42
50000 .17 38
50000 .17 38
50000 .17 38
50000 .15 38
50000 .17 38
50000 .17 38
50000 .17 38
50000 .17 38
50000 .17 38
50000 .16 38
50000 .17 38
50000 .17 38
50000 .17 38
50000 .16 38
50000 .17 38
50000 .16 38
50000 .18 38
50000 .17 38
50000 .15 38
50000 .16 38
50000 .17 38
50000 .15 38
50000 .17 38
50000 .17 38
50000 .17 38
50000 .17 38
50000 .17 38
50000 .17 38
50000 .16 38
50000 .16 38
50000 .17 41
50000 .15 41
50000 .16 41
50000 .17 41
50000 .17 41
50000 .17 41
50000 .15 41
50000 .17 41
50000 .17 41
50000 .17 41
50000 .17 36
50000 .17 36
50000 .17 36
50000 .17 36
50000 .17 36
50000 .17 36
50000 .17 36
50000 .17 36
50000 .16 36
50000 .17 36
60000 .18 44
60000 .19 44
60000 .17 44
60000 .18 44
60000 .18 44
60000 .18 44
60000 .17 44
60000 .18 44
60000 .18 44
60000 .17 44
60000 .18 40
60000 .18 40
60000 .17 40
60000 .18 40
60000 .18 40
60000 .16 40
60000 .18 40
60000 .18 40
60000 .17 40
60000 .17 40
60000 .19 39
