10000, .24
10000, .22
10000, .22
10000, .23
10000, .23
20000, .38
20000, .39
20000, .38
20000, .38
20000, .38
30000, .48
30000, .48
30000, .50
30000, .46
30000, .49
40000, .54
40000, .54
40000, .55
40000, .51
40000, .52
50000, .72
50000, .74
50000, .74
50000, .71
50000, .75
60000, .77
60000, .76
60000, .78
60000, .80
60000, .76
70000, .84
70000, .85
70000, .84
70000, .84
70000, .85
80000, .88
80000, .88
80000, .88
80000, .89
80000, .86
90000, 1.21
90000, 1.24
90000, 1.19
90000, 1.20
90000, 1.18
100000, 1.28
100000, 1.27
100000, 1.24
100000, 1.25
100000, 1.28
